Customer,Name,Currency,Ctlg Nbr,Prod Group Catalog,Product ID,Descr,Brand,Category,Kit,UOM,Default UOM,Pricing UOM,List Price,Discount_pct,DFI_Price
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91765,SOUNDHENGE II GRANITE,SONANCE,OUTDOOR,N,EA,Y,Default,150.0000,0.25,112.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91767,SOUNDHENGE II BLACK LAVA,SONANCE,OUTDOOR,N,EA,Y,Default,150.0000,0.25,112.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91768,SOUNDHENGE II SEDONA RED,SONANCE,OUTDOOR,N,EA,Y,Default,150.0000,0.25,112.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91769,NAV HARBOR REMOTE CONTROL,SONANCE,OTHER_SONANCE,N,EA,Y,Default,50.0000,0.25,37.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91770,VIRTUOSO 831DR,SONANCE,CSERIES,N,PR,Y,Default,309.0000,0.25,231.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91771,VIRTUOSO 832DR,SONANCE,CSERIES,N,PR,Y,Default,541.0000,0.25,405.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91772,VIRTUOSO 833DR,SONANCE,CSERIES,N,PR,Y,Default,773.0000,0.25,579.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91779,SONAMP 1230,SONANCE,AMPS,N,EA,Y,Default,660.0000,0.25,495.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91780,SONAMP 1230 RMF,SONANCE,AMPS,N,EA,Y,Default,675.0000,0.25,506.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91781,SONAMP 1230 230V,SONANCE,AMPS,N,EA,Y,Default,660.0000,0.25,495.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91782,SONAMP 1230 RMF 230V,SONANCE,AMPS,N,EA,Y,Default,675.0000,0.25,506.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91783,VIRTUOSO 830DR,SONANCE,CSERIES,N,PR,Y,Default,227.0000,0.25,170.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91784,SONAMP 1250 MKII,SONANCE,AMPS,N,EA,Y,Default,1100.0000,0.25,825.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91785,SONAMP 1250 MKII RMF,SONANCE,AMPS,N,EA,Y,Default,1115.0000,0.25,836.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91786,GRILLE VIRTUOSO DR M,SONANCE,OTHER_SONANCE,N,PR,Y,Default,37.0000,0.25,27.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91788,NAV NET AUDOMATRX RMF KIT,SONANCE,OTHER_SONANCE,N,EA,Y,Default,40.0000,0.25,30.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91789,SONAMP SAT 275,SONANCE,AMPS,N,EA,Y,Default,350.0000,0.25,262.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91790,SONAMP SAT275 RMF,SONANCE,AMPS,N,EA,Y,Default,365.0000,0.25,273.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91794,VIRTUOSO 800D NO AMP,SONANCE,AMPS,N,EA,Y,Default,124.0000,0.25,93.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91795,VIRTUOSO 800DR NO AMP,SONANCE,AMPS,N,EA,Y,Default,124.0000,0.25,93.00
